MSCI RUSSIA VALUE,MSCI USA,MSCI JAPAN,MSCI UNITED KINGDOM,MSCI CHINA,MSCI FRANCE,MSCI CANADA,MSCI SWITZERLAND,MSCI GERMANY,MSCI AUSTRALIA,MSCI INDIA,MSCI TAIWAN,MSCI KOREA,MSCI NETHERLANDS,MSCI SWEDEN,MSCI DENMARK,MSCI HONG KONG,MSCI BRAZIL,MSCI ITALY,MSCI SPAIN,MSCI FINLAND,MSCI SOUTH AFRICA,MSCI SINGAPORE,MSCI MEXICO,MSCI ISRAEL,MSCI INDONESIA,MSCI THAILAND,MSCI MALAYSIA,MSCI BELGIUM,MSCI UNITED ARAB EMIRATES,MSCI NEW ZEALAND,MSCI PHILIPPINES,MSCI QATAR,MSCI CHILE,MSCI PORTUGAL,MSCI POLAND,MSCI IRELAND,MSCI Greece Rebased Index,MSCI KUWAIT,MSCI TURKEY,MSCI AUSTRIA,MSCI HUNGARY,MSCI EGYPT,MSCI COLOMBIA
,151.9119987617612,199.9470716107976,130.34261757789469,,163.180056844454,218.43335705044035,107.3288575196668,154.51564694270192,134.66853786941954,,,,126.47881946955545,259.62894107579734,147.31912645933048,196.67281368570312,,122.10483840205036,130.26603238271048,345.91805468717774,,193.3332447498507,,,,,,82.07203524549551,,121.07638761894572,,,,114.01325335589202,,105.23849368685826,158527.869540025,,,99.46197149997435,,,
,154.32131920518648,194.17521826968985,131.16307038346994,,165.71470944281475,220.94991075719147,108.84077425574232,148.2109208866275,137.60466167448925,,,,128.38231921392185,269.85370794265253,140.58688118271797,187.19635448234425,,119.84367111493432,126.91439008132852,373.8342366270043,,215.2548968731656,,,,,,83.76326204783203,,125.99619133271896,,,,109.35737818102176,,100.49838182723232,139660.54293862733,,,98.98616139622231,,,
,147.583901270948,181.08258383007183,124.52751633514156,,167.21193673930546,213.01750745717683,112.821326513417,141.10133905961942,130.40570892583827,,,,129.54180156986794,253.4540106976695,147.48531342870294,162.94657824909152,,122.91090674070053,120.98609580945724,333.87928256526,,172.0053562005716,,,,,,85.40183768085338,,112.5058917754621,,,,106.85325520905934,,93.4637126736151,151954.5020899157,,,100.69959857396717,,,
,146.1749759663756,187.242575777865,121.6037205990762,,167.90284761233983,231.97884030086945,113.35143834879769,136.1161024643506,144.3965034480452,,,,132.2884054366177,241.26136205803544,142.5020705688383,169.91444144561814,,126.98882171327102,120.29524075970114,316.73923116928177,,188.90274887600864,,,,,,88.19005491431747,,115.2746343449298,,,,109.43800369288952,,87.98240260845404,136263.67975384992,,,100.726151028125,,,
,148.4715933080216,171.39227091073704,126.6508602702445,,170.87482115570538,247.2477333803432,117.63370540836311,140.27751774998052,140.28654112742043,,,,130.90400144849696,240.742497736037,150.50615370553948,187.70927788699336,,125.8505788794678,121.17486615363642,287.06828884012685,,195.51879017992584,,,,,,92.28950501208855,,116.2619523871418,,,,110.78198904703176,,85.43547194959768,134988.63257450215,,,104.16494592395824,,,
,162.74594005557444,190.19628875469817,133.40180985067866,,173.7672734097713,280.32509222940706,119.8422367361054,139.47807662811778,147.75513890403346,,,,136.21531472025188,247.8795542034042,165.96665049696074,197.41226360273825,,129.44752857757558,123.80854242843024,291.58486785665013,,210.7741217805253,,,,,,94.5641287978806,,112.40484769404648,,,,111.39710160459776,,89.58929250759803,118260.30698206398,,,105.53950371218122,,,
,155.00331922372865,182.09782420286103,130.71858176014626,,163.92102760237705,253.8867952874497,114.08916971177734,133.17679755029124,142.3119744338671,,,,131.94182428856465,217.1314853208845,164.02322677962547,182.626671930506,,122.82725349943064,125.9817757954784,268.15282426895925,,194.365107820838,,,,,,91.4029880132989,,101.88386631319956,,,,110.60077057600394,,97.05858316598604,135957.14327393498,,,106.85433660648472,,,
,160.18406921234416,178.59065948979836,137.05667164032565,,166.588442243425,241.2134097804076,119.80828135489718,139.6578012789113,138.62243634924928,,,,136.24570901089757,210.84142661937543,162.9488736731377,177.40548969181384,,130.90557520449303,121.5240645134928,277.72828186743254,,202.19510836412692,,,,,,93.77696784711632,,98.04144112500413,,,,104.03301513937338,,101.35963530586804,124847.7738232036,,,105.18842806146812,,,
,143.6095718747323,166.6676180422394,125.6035379295564,,154.67592391868752,213.80276085501265,121.54422104327168,125.98968302252104,137.9773639314499,,,,131.56446388831108,185.11486861092945,150.8124410652214,166.68381791465706,,129.93277702633327,109.73936026750664,273.9699057932716,,193.24112800095068,,,,,,88.19727596430579,,101.30382747305906,,,,102.016010993888,,96.1382360426647,105536.6493046386,,,98.51947352212532,,,
,132.90794564182465,145.135663986955,124.42544333353744,,154.71403812649416,202.5472204615624,123.09769838039344,126.73822700746908,132.46360376480106,,,,128.2199833249515,176.95745096033022,144.98815297890422,170.10816691651357,,123.0861562024809,110.32362415989428,271.0379490616719,,180.25700226859024,,,,,,89.17325065002669,,93.83594777350768,,,,102.2328907007416,,95.35893192624408,109306.61549899617,,,100.08223368602336,,,
